,X_axis,Y_axis
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.02040816326530612
49,49,0.02
50,50,0.0196078431372549
51,51,0.019230769230769232
52,52,0.018867924528301886
53,53,0.018518518518518517
54,54,0.01818181818181818
55,55,0.017857142857142856
56,56,0.017543859649122806
57,57,0.017241379310344827
58,58,0.01694915254237288
59,59,0.03333333333333333
60,60,0.04918032786885246
61,61,0.04838709677419355
62,62,0.047619047619047616
63,63,0.046875
64,64,0.046153846153846156
65,65,0.045454545454545456
66,66,0.04477611940298507
67,67,0.04411764705882353
68,68,0.043478260869565216
69,69,0.04285714285714286
70,70,0.04225352112676056
71,71,0.041666666666666664
72,72,0.0410958904109589
73,73,0.04054054054054054
74,74,0.04
75,75,0.039473684210526314
76,76,0.03896103896103896
77,77,0.038461538461538464
78,78,0.0379746835443038
79,79,0.05
80,80,0.04938271604938271
81,81,0.04878048780487805
82,82,0.04819277108433735
83,83,0.047619047619047616
84,84,0.047058823529411764
85,85,0.05813953488372093
86,86,0.05747126436781609
87,87,0.056818181818181816
88,88,0.056179775280898875
89,89,0.05555555555555555
90,90,0.054945054945054944
91,91,0.05434782608695652
92,92,0.053763440860215055
93,93,0.05319148936170213
94,94,0.05263157894736842
95,95,0.052083333333333336
96,96,0.05154639175257732
97,97,0.061224489795918366
98,98,0.06060606060606061
99,99,0.06
100,100,0.0594059405940594
101,101,0.058823529411764705
102,102,0.05825242718446602
103,103,0.057692307692307696
104,104,0.05714285714285714
105,105,0.05660377358490566
106,106,0.056074766355140186
107,107,0.05555555555555555
108,108,0.05504587155963303
109,109,0.05454545454545454
110,110,0.05405405405405406
111,111,0.05357142857142857
112,112,0.061946902654867256
113,113,0.06140350877192982
114,114,0.06086956521739131
115,115,0.0603448275862069
116,116,0.05982905982905983
117,117,0.059322033898305086
118,118,0.058823529411764705
119,119,0.058333333333333334
120,120,0.05785123966942149
121,121,0.05737704918032787
122,122,0.056910569105691054
123,123,0.056451612903225805
124,124,0.056
125,125,0.05555555555555555
126,126,0.05511811023622047
127,127,0.0546875
128,128,0.06201550387596899
129,129,0.06153846153846154
130,130,0.061068702290076333
131,131,0.06060606060606061
132,132,0.06015037593984962
133,133,0.05970149253731343
134,134,0.05925925925925926
135,135,0.058823529411764705
136,136,0.058394160583941604
137,137,0.057971014492753624
138,138,0.05755395683453238
139,139,0.05714285714285714
140,140,0.05673758865248227
141,141,0.056338028169014086
142,142,0.055944055944055944
143,143,0.05555555555555555
144,144,0.05517241379310345
145,145,0.0547945205479452
146,146,0.061224489795918366
147,147,0.060810810810810814
148,148,0.06040268456375839
149,149,0.06
150,150,0.059602649006622516
151,151,0.05921052631578947
152,152,0.058823529411764705
153,153,0.05844155844155844
154,154,0.05806451612903226
155,155,0.057692307692307696
156,156,0.05732484076433121
157,157,0.056962025316455694
158,158,0.05660377358490566
159,159,0.05625
160,160,0.055900621118012424
161,161,0.05555555555555555
162,162,0.05521472392638037
163,163,0.054878048780487805
164,164,0.05454545454545454
165,165,0.05421686746987952
166,166,0.05389221556886228
167,167,0.05357142857142857
168,168,0.05325443786982249
169,169,0.052941176470588235
170,170,0.05263157894736842
171,171,0.05232558139534884
172,172,0.05202312138728324
173,173,0.05172413793103448
174,174,0.05142857142857143
175,175,0.05113636363636364
176,176,0.05084745762711865
177,177,0.05056179775280899
178,178,0.05027932960893855
179,179,0.05
180,180,0.049723756906077346
181,181,0.04945054945054945
182,182,0.04918032786885246
183,183,0.04891304347826087
184,184,0.04864864864864865
185,185,0.053763440860215055
186,186,0.053475935828877004
187,187,0.05319148936170213
188,188,0.05291005291005291
189,189,0.05263157894736842
190,190,0.05759162303664921
191,191,0.057291666666666664
192,192,0.05699481865284974
193,193,0.061855670103092786
194,194,0.06153846153846154
195,195,0.061224489795918366
196,196,0.06091370558375635
197,197,0.06060606060606061
198,198,0.06030150753768844
199,199,0.06
200,200,0.05970149253731343
201,201,0.0594059405940594
202,202,0.059113300492610835
203,203,0.058823529411764705
204,204,0.05853658536585366
205,205,0.05825242718446602
206,206,0.057971014492753624
207,207,0.057692307692307696
208,208,0.05741626794258373
209,209,0.05714285714285714
210,210,0.061611374407582936
211,211,0.06132075471698113
212,212,0.06103286384976526
213,213,0.06074766355140187
214,214,0.06046511627906977
215,215,0.06018518518518518
216,216,0.059907834101382486
217,217,0.05963302752293578
218,218,0.0593607305936073
219,219,0.05909090909090909
220,220,0.058823529411764705
221,221,0.05855855855855856
222,222,0.05829596412556054
223,223,0.05803571428571429
224,224,0.057777777777777775
225,225,0.05752212389380531
226,226,0.05726872246696035
227,227,0.05701754385964912
228,228,0.056768558951965066
229,229,0.06086956521739131
230,230,0.06060606060606061
231,231,0.0603448275862069
232,232,0.060085836909871244
233,233,0.05982905982905983
234,234,0.059574468085106386
235,235,0.059322033898305086
236,236,0.05907172995780591
237,237,0.058823529411764705
238,238,0.058577405857740586
239,239,0.058333333333333334
240,240,0.058091286307053944
241,241,0.05785123966942149
242,242,0.06172839506172839
243,243,0.06147540983606557
244,244,0.0653061224489796
245,245,0.06504065040650407
246,246,0.06477732793522267
247,247,0.06451612903225806
248,248,0.07228915662650602
249,249,0.072
250,250,0.07171314741035857
251,251,0.07142857142857142
252,252,0.07114624505928854
253,253,0.07086614173228346
254,254,0.07450980392156863
255,255,0.07421875
256,256,0.07392996108949416
257,257,0.07364341085271318
258,258,0.07335907335907337
259,259,0.07307692307692308
260,260,0.07279693486590039
261,261,0.07251908396946564
262,262,0.07224334600760456
263,263,0.07196969696969698
264,264,0.07169811320754717
265,265,0.07142857142857142
266,266,0.07116104868913857
267,267,0.0708955223880597
268,268,0.07063197026022305
269,269,0.07037037037037037
270,270,0.07011070110701106
271,271,0.06985294117647059
272,272,0.0695970695970696
273,273,0.06934306569343066
274,274,0.07272727272727272
275,275,0.07246376811594203
276,276,0.07220216606498195
277,277,0.07194244604316546
278,278,0.07168458781362007
279,279,0.07142857142857142
280,280,0.0711743772241993
281,281,0.07092198581560284
282,282,0.0706713780918728
283,283,0.07042253521126761
284,284,0.07017543859649122
285,285,0.06993006993006994
286,286,0.06968641114982578
287,287,0.06944444444444445
288,288,0.06920415224913495
289,289,0.06896551724137931
290,290,0.06872852233676977
291,291,0.0684931506849315
292,292,0.06825938566552901
293,293,0.07142857142857142
294,294,0.07457627118644068
295,295,0.07432432432432433
296,296,0.07407407407407407
297,297,0.0738255033557047
298,298,0.07357859531772576
299,299,0.07333333333333333
300,300,0.07308970099667775
301,301,0.0728476821192053
302,302,0.07260726072607261
303,303,0.0756578947368421
304,304,0.07540983606557378
305,305,0.07516339869281045
306,306,0.0749185667752443
307,307,0.07467532467532467
308,308,0.0744336569579288
309,309,0.07419354838709677
310,310,0.07395498392282958
311,311,0.07371794871794872
312,312,0.07348242811501597
313,313,0.0732484076433121
314,314,0.07301587301587302
315,315,0.07278481012658228
316,316,0.07255520504731862
317,317,0.07232704402515723
318,318,0.07210031347962383
319,319,0.071875
320,320,0.07165109034267912
321,321,0.07142857142857142
322,322,0.07120743034055728
323,323,0.07098765432098765
324,324,0.07076923076923076
325,325,0.0736196319018405
326,326,0.0764525993883792
327,327,0.07621951219512195
328,328,0.07598784194528875
329,329,0.07575757575757576
330,330,0.0755287009063444
331,331,0.07530120481927711
332,332,0.07507507507507508
333,333,0.0748502994011976
334,334,0.07462686567164178
335,335,0.0744047619047619
336,336,0.07418397626112759
337,337,0.07396449704142012
338,338,0.07374631268436578
339,339,0.07647058823529412
340,340,0.07624633431085044
341,341,0.07602339181286549
342,342,0.07871720116618076
343,343,0.07848837209302326
344,344,0.0782608695652174
345,345,0.07803468208092486
346,346,0.07780979827089338
347,347,0.07758620689655173
348,348,0.07736389684813753
349,349,0.07714285714285714
350,350,0.07692307692307693
351,351,0.07670454545454546
352,352,0.0764872521246459
353,353,0.07627118644067797
354,354,0.07605633802816901
355,355,0.07584269662921349
356,356,0.07563025210084033
357,357,0.07541899441340782
358,358,0.07799442896935933
359,359,0.07777777777777778
360,360,0.07756232686980609
361,361,0.07734806629834254
362,362,0.07713498622589532
363,363,0.07692307692307693
364,364,0.07945205479452055
365,365,0.08196721311475409
366,366,0.08174386920980926
367,367,0.08152173913043478
368,368,0.08130081300813008
369,369,0.08108108108108109
370,370,0.08086253369272237
