Cidades,Geocode
Presidente Kennedy/TO,1718402.0
Pugmil/TO,1718451.0
Recursolândia/TO,1718501.0
Riachinho/TO,1718550.0
Rio dos Bois/TO,1718709.0
Rio Sono/TO,1718758.0
Sandolândia/TO,1718840.0
Santa Fé do Araguaia/TO,1718865.0
Santa Maria do Tocantins/TO,1718881.0
Santa Rita do Tocantins/TO,1718899.0
Santa Rosa do Tocantins/TO,1718907.0
Santa Tereza do Tocantins/TO,1719004.0
Santa Terezinha do Tocantins/TO,1720002.0
São Bento do Tocantins/TO,1720101.0
São Miguel do Tocantins/TO,1720200.0
São Salvador do Tocantins/TO,1720259.0
São Sebastião do Tocantins/TO,1720309.0
São Valério/TO,1720499.0
Silvanópolis/TO,1720655.0
Sítio Novo do Tocantins/TO,1720804.0
Sucupira/TO,1720853.0
Taguatinga/TO,1720903.0
Taipas do Tocantins/TO,1720937.0
Talismã/TO,1720978.0
Palmas/TO,1721000.0
Tocantínia/TO,1721109.0
Tocantinópolis/TO,1721208.0
Tupiratins/TO,1721307.0
Wanderlândia/TO,1722081.0
Xambioá/TO,1722107.0
