Cidades,Estados,Geocode
Oiapoque/AP,AP,1600501.0
Porto Grande/AP,AP,1600535.0
Pracuúba/AP,AP,1600550.0
Santana/AP,AP,1600600.0
Tartarugalzinho/AP,AP,1600709.0
Vitória do Jari/AP,AP,1600808.0
Abreulândia/TO,TO,1700251.0
Aguiarnópolis/TO,TO,1700301.0
Aliança do Tocantins/TO,TO,1700350.0
Almas/TO,TO,1700400.0
Alvorada/TO,TO,1700707.0
Ananás/TO,TO,1701002.0
Angico/TO,TO,1701051.0
Aparecida do Rio Negro/TO,TO,1701101.0
Aragominas/TO,TO,1701309.0
Araguacema/TO,TO,1701903.0
Araguaçu/TO,TO,1702000.0
Araguaína/TO,TO,1702109.0
Araguanã/TO,TO,1702158.0
Araguatins/TO,TO,1702208.0
Arapoema/TO,TO,1702307.0
Arraias/TO,TO,1702406.0
Augustinópolis/TO,TO,1702554.0
Aurora do Tocantins/TO,TO,1702703.0
Axixá do Tocantins/TO,TO,1702901.0
Babaçulândia/TO,TO,1703008.0
Bandeirantes do Tocantins/TO,TO,1703057.0
Barra do Ouro/TO,TO,1703073.0
Barrolândia/TO,TO,1703107.0
Bernardo Sayão/TO,TO,1703206.0
Bom Jesus do Tocantins/TO,TO,1703305.0
Brasilândia do Tocantins/TO,TO,1703602.0
Brejinho de Nazaré/TO,TO,1703701.0
Buriti do Tocantins/TO,TO,1703800.0
Cachoeirinha/TO,TO,1703826.0
Campos Lindos/TO,TO,1703842.0
Cariri do Tocantins/TO,TO,1703867.0
Carmolândia/TO,TO,1703883.0
Carrasco Bonito/TO,TO,1703891.0
Caseara/TO,TO,1703909.0
Centenário/TO,TO,1704105.0
Chapada de Areia/TO,TO,1704600.0
Chapada da Natividade/TO,TO,1705102.0
Colinas do Tocantins/TO,TO,1705508.0
Combinado/TO,TO,1705557.0
Conceição do Tocantins/TO,TO,1705607.0
Couto Magalhães/TO,TO,1706001.0
Cristalândia/TO,TO,1706100.0
Crixás do Tocantins/TO,TO,1706258.0
Darcinópolis/TO,TO,1706506.0
Dianópolis/TO,TO,1707009.0
Divinópolis do Tocantins/TO,TO,1707108.0
Dois Irmãos do Tocantins/TO,TO,1707207.0
Dueré/TO,TO,1707306.0
Esperantina/TO,TO,1707405.0
Fátima/TO,TO,1707553.0
Figueirópolis/TO,TO,1707652.0
Filadélfia/TO,TO,1707702.0
Formoso do Araguaia/TO,TO,1708205.0
Tabocão/TO,TO,1708254.0
Goianorte/TO,TO,1708304.0
Goiatins/TO,TO,1709005.0
Guaraí/TO,TO,1709302.0
Gurupi/TO,TO,1709500.0
Itacajá/TO,TO,1710508.0
Itaguatins/TO,TO,1710706.0
Itapiratins/TO,TO,1710904.0
Itaporã do Tocantins/TO,TO,1711100.0
Jaú do Tocantins/TO,TO,1711506.0
Juarina/TO,TO,1711803.0
Lagoa da Confusão/TO,TO,1711902.0
Lagoa do Tocantins/TO,TO,1711951.0
Lajeado/TO,TO,1712009.0
Lavandeira/TO,TO,1712157.0
Lizarda/TO,TO,1712405.0
Luzinópolis/TO,TO,1712454.0
Marianópolis do Tocantins/TO,TO,1712504.0
Mateiros/TO,TO,1712702.0
Maurilândia do Tocantins/TO,TO,1712801.0
Miracema do Tocantins/TO,TO,1713205.0
Miranorte/TO,TO,1713304.0
Monte do Carmo/TO,TO,1713601.0
Monte Santo do Tocantins/TO,TO,1713700.0
Palmeiras do Tocantins/TO,TO,1713809.0
Muricilândia/TO,TO,1713957.0
Natividade/TO,TO,1714203.0
Nazaré/TO,TO,1714302.0
Nova Olinda/TO,TO,1714880.0
Nova Rosalândia/TO,TO,1715002.0
Novo Acordo/TO,TO,1715101.0
Novo Alegre/TO,TO,1715150.0
Novo Jardim/TO,TO,1715259.0
Oliveira de Fátima/TO,TO,1715507.0
Palmeirante/TO,TO,1715705.0
Palmeirópolis/TO,TO,1715754.0
Paraíso do Tocantins/TO,TO,1716109.0
Paranã/TO,TO,1716208.0
Pau D'Arco/TO,TO,1716307.0
Pedro Afonso/TO,TO,1716505.0
Peixe/TO,TO,1716604.0
Pequizeiro/TO,TO,1716653.0
Colméia/TO,TO,1716703.0
Pindorama do Tocantins/TO,TO,1717008.0
Piraquê/TO,TO,1717206.0
Pium/TO,TO,1717503.0
Ponte Alta do Bom Jesus/TO,TO,1717800.0
Ponte Alta do Tocantins/TO,TO,1717909.0
Porto Alegre do Tocantins/TO,TO,1718006.0
Porto Nacional/TO,TO,1718204.0
Praia Norte/TO,TO,1718303.0
Presidente Kennedy/TO,TO,1718402.0
Pugmil/TO,TO,1718451.0
Recursolândia/TO,TO,1718501.0
Riachinho/TO,TO,1718550.0
Rio dos Bois/TO,TO,1718709.0
Rio Sono/TO,TO,1718758.0
Sandolândia/TO,TO,1718840.0
Santa Fé do Araguaia/TO,TO,1718865.0
Santa Maria do Tocantins/TO,TO,1718881.0
Santa Rita do Tocantins/TO,TO,1718899.0
Santa Rosa do Tocantins/TO,TO,1718907.0
Santa Tereza do Tocantins/TO,TO,1719004.0
Santa Terezinha do Tocantins/TO,TO,1720002.0
São Bento do Tocantins/TO,TO,1720101.0
São Miguel do Tocantins/TO,TO,1720200.0
São Salvador do Tocantins/TO,TO,1720259.0
São Sebastião do Tocantins/TO,TO,1720309.0
São Valério/TO,TO,1720499.0
Silvanópolis/TO,TO,1720655.0
Sítio Novo do Tocantins/TO,TO,1720804.0
Sucupira/TO,TO,1720853.0
Taguatinga/TO,TO,1720903.0
Taipas do Tocantins/TO,TO,1720937.0
Talismã/TO,TO,1720978.0
Palmas/TO,TO,1721000.0
Tocantínia/TO,TO,1721109.0
Tocantinópolis/TO,TO,1721208.0
Tupiratins/TO,TO,1721307.0
Wanderlândia/TO,TO,1722081.0
Xambioá/TO,TO,1722107.0
Açailândia/MA,MA,2100055.0
Afonso Cunha/MA,MA,2100105.0
Água Doce do Maranhão/MA,MA,2100154.0
Alcântara/MA,MA,2100204.0
Aldeias Altas/MA,MA,2100303.0
Altamira do Maranhão/MA,MA,2100402.0
Alto Alegre do Maranhão/MA,MA,2100436.0
Alto Alegre do Pindaré/MA,MA,2100477.0
Alto Parnaíba/MA,MA,2100501.0
Amapá do Maranhão/MA,MA,2100550.0
Amarante do Maranhão/MA,MA,2100600.0
Anajatuba/MA,MA,2100709.0
Anapurus/MA,MA,2100808.0
Apicum-Açu/MA,MA,2100832.0
Araguanã/MA,MA,2100873.0
Araioses/MA,MA,2100907.0
Arame/MA,MA,2100956.0
Arari/MA,MA,2101004.0
Axixá/MA,MA,2101103.0
Bacabal/MA,MA,2101202.0
Bacabeira/MA,MA,2101251.0
Bacuri/MA,MA,2101301.0
Bacurituba/MA,MA,2101350.0
Balsas/MA,MA,2101400.0
Barão de Grajaú/MA,MA,2101509.0
Barra do Corda/MA,MA,2101608.0
Barreirinhas/MA,MA,2101707.0
Belágua/MA,MA,2101731.0
Bela Vista do Maranhão/MA,MA,2101772.0
Benedito Leite/MA,MA,2101806.0
Bequimão/MA,MA,2101905.0
Bernardo do Mearim/MA,MA,2101939.0
Boa Vista do Gurupi/MA,MA,2101970.0
Bom Jardim/MA,MA,2102002.0
Bom Jesus das Selvas/MA,MA,2102036.0
Bom Lugar/MA,MA,2102077.0
Brejo/MA,MA,2102101.0
Brejo de Areia/MA,MA,2102150.0
Buriti/MA,MA,2102200.0
Buriti Bravo/MA,MA,2102309.0
Buriticupu/MA,MA,2102325.0
Buritirana/MA,MA,2102358.0
Cachoeira Grande/MA,MA,2102374.0
Cajapió/MA,MA,2102408.0
Cajari/MA,MA,2102507.0
Campestre do Maranhão/MA,MA,2102556.0
Cândido Mendes/MA,MA,2102606.0
Cantanhede/MA,MA,2102705.0
Capinzal do Norte/MA,MA,2102754.0
Carolina/MA,MA,2102804.0
Carutapera/MA,MA,2102903.0
Caxias/MA,MA,2103000.0
Cedral/MA,MA,2103109.0
Central do Maranhão/MA,MA,2103125.0
Centro do Guilherme/MA,MA,2103158.0
Centro Novo do Maranhão/MA,MA,2103174.0
Chapadinha/MA,MA,2103208.0
Cidelândia/MA,MA,2103257.0
Codó/MA,MA,2103307.0
Coelho Neto/MA,MA,2103406.0
Colinas/MA,MA,2103505.0
Conceição do Lago-Açu/MA,MA,2103554.0
Coroatá/MA,MA,2103604.0
Cururupu/MA,MA,2103703.0
Dom Pedro/MA,MA,2103802.0
Duque Bacelar/MA,MA,2103901.0
Esperantinópolis/MA,MA,2104008.0
Estreito/MA,MA,2104057.0
Feira Nova do Maranhão/MA,MA,2104073.0
Fernando Falcão/MA,MA,2104081.0
Formosa da Serra Negra/MA,MA,2104099.0
Fortaleza dos Nogueiras/MA,MA,2104107.0
Fortuna/MA,MA,2104206.0
Godofredo Viana/MA,MA,2104305.0
Gonçalves Dias/MA,MA,2104404.0
Governador Archer/MA,MA,2104503.0
Governador Edison Lobão/MA,MA,2104552.0
Governador Eugênio Barros/MA,MA,2104602.0
Governador Luiz Rocha/MA,MA,2104628.0
Governador Newton Bello/MA,MA,2104651.0
Governador Nunes Freire/MA,MA,2104677.0
Graça Aranha/MA,MA,2104701.0
Grajaú/MA,MA,2104800.0
Guimarães/MA,MA,2104909.0
Humberto de Campos/MA,MA,2105005.0
Icatu/MA,MA,2105104.0
Igarapé do Meio/MA,MA,2105153.0
Igarapé Grande/MA,MA,2105203.0
Imperatriz/MA,MA,2105302.0
Itaipava do Grajaú/MA,MA,2105351.0
Itapecuru Mirim/MA,MA,2105401.0
Itinga do Maranhão/MA,MA,2105427.0
Jatobá/MA,MA,2105450.0
Jenipapo dos Vieiras/MA,MA,2105476.0
João Lisboa/MA,MA,2105500.0
Joselândia/MA,MA,2105609.0
Junco do Maranhão/MA,MA,2105658.0
Lago da Pedra/MA,MA,2105708.0
Lago do Junco/MA,MA,2105807.0
Lago Verde/MA,MA,2105906.0
Lagoa do Mato/MA,MA,2105922.0
Lago dos Rodrigues/MA,MA,2105948.0
Lagoa Grande do Maranhão/MA,MA,2105963.0
Lajeado Novo/MA,MA,2105989.0
Lima Campos/MA,MA,2106003.0
Loreto/MA,MA,2106102.0
Luís Domingues/MA,MA,2106201.0
Magalhães de Almeida/MA,MA,2106300.0
Maracaçumé/MA,MA,2106326.0
Marajá do Sena/MA,MA,2106359.0
Maranhãozinho/MA,MA,2106375.0
Matinha/MA,MA,2106508.0
Matões/MA,MA,2106607.0
Matões do Norte/MA,MA,2106631.0
Milagres do Maranhão/MA,MA,2106672.0
Mirador/MA,MA,2106706.0
Miranda do Norte/MA,MA,2106755.0
Mirinzal/MA,MA,2106805.0
Monção/MA,MA,2106904.0
Montes Altos/MA,MA,2107001.0
Morros/MA,MA,2107100.0
Nina Rodrigues/MA,MA,2107209.0
Nova Colinas/MA,MA,2107258.0
Nova Iorque/MA,MA,2107308.0
Nova Olinda do Maranhão/MA,MA,2107357.0
Olho d'Água das Cunhãs/MA,MA,2107407.0
Olinda Nova do Maranhão/MA,MA,2107456.0
Palmeirândia/MA,MA,2107605.0
Paraibano/MA,MA,2107704.0
Parnarama/MA,MA,2107803.0
Passagem Franca/MA,MA,2107902.0
Pastos Bons/MA,MA,2108009.0
Paulino Neves/MA,MA,2108058.0
Paulo Ramos/MA,MA,2108108.0
Pedreiras/MA,MA,2108207.0
Pedro do Rosário/MA,MA,2108256.0
Penalva/MA,MA,2108306.0
Peri Mirim/MA,MA,2108405.0
Peritoró/MA,MA,2108454.0
Pindaré-Mirim/MA,MA,2108504.0
Pinheiro/MA,MA,2108603.0
Pio XII/MA,MA,2108702.0
Pirapemas/MA,MA,2108801.0
Poção de Pedras/MA,MA,2108900.0
Porto Franco/MA,MA,2109007.0
Porto Rico do Maranhão/MA,MA,2109056.0
Presidente Dutra/MA,MA,2109106.0
Presidente Juscelino/MA,MA,2109205.0
Presidente Médici/MA,MA,2109239.0
Presidente Sarney/MA,MA,2109270.0
Presidente Vargas/MA,MA,2109304.0
Primeira Cruz/MA,MA,2109403.0
Riachão/MA,MA,2109502.0
Ribamar Fiquene/MA,MA,2109551.0
Rosário/MA,MA,2109601.0
Sambaíba/MA,MA,2109700.0
Santa Filomena do Maranhão/MA,MA,2109759.0
Santa Helena/MA,MA,2109809.0
Santa Inês/MA,MA,2109908.0
Santa Luzia/MA,MA,2110005.0
Santa Luzia do Paruá/MA,MA,2110039.0
Santa Quitéria do Maranhão/MA,MA,2110104.0
Santa Rita/MA,MA,2110203.0
Santo Amaro do Maranhão/MA,MA,2110278.0
Santo Antônio dos Lopes/MA,MA,2110302.0
São Benedito do Rio Preto/MA,MA,2110401.0
São Bento/MA,MA,2110500.0
São Bernardo/MA,MA,2110609.0
São Domingos do Azeitão/MA,MA,2110658.0
São Domingos do Maranhão/MA,MA,2110708.0
São Félix de Balsas/MA,MA,2110807.0
São Francisco do Brejão/MA,MA,2110856.0
São Francisco do Maranhão/MA,MA,2110906.0
São João Batista/MA,MA,2111003.0
São João do Paraíso/MA,MA,2111052.0
São João do Soter/MA,MA,2111078.0
São João dos Patos/MA,MA,2111102.0
São José de Ribamar/MA,MA,2111201.0
São José dos Basílios/MA,MA,2111250.0
São Luís/MA,MA,2111300.0
São Luís Gonzaga do Maranhão/MA,MA,2111409.0
São Mateus do Maranhão/MA,MA,2111508.0
São Pedro da Água Branca/MA,MA,2111532.0
São Pedro dos Crentes/MA,MA,2111573.0
São Raimundo das Mangabeiras/MA,MA,2111607.0
São Raimundo do Doca Bezerra/MA,MA,2111631.0
São Roberto/MA,MA,2111672.0
São Vicente Ferrer/MA,MA,2111706.0
Satubinha/MA,MA,2111722.0
Senador Alexandre Costa/MA,MA,2111748.0
Senador La Rocque/MA,MA,2111763.0
Serrano do Maranhão/MA,MA,2111789.0
Sítio Novo/MA,MA,2111805.0
Sucupira do Norte/MA,MA,2111904.0
Sucupira do Riachão/MA,MA,2111953.0
Tasso Fragoso/MA,MA,2112001.0
Timbiras/MA,MA,2112100.0
Timon/MA,MA,2112209.0
Trizidela do Vale/MA,MA,2112233.0
Tuntum/MA,MA,2112308.0
Turiaçu/MA,MA,2112407.0
Turilândia/MA,MA,2112456.0
Tutóia/MA,MA,2112506.0
Urbano Santos/MA,MA,2112605.0
Vargem Grande/MA,MA,2112704.0
Viana/MA,MA,2112803.0
Vila Nova dos Martírios/MA,MA,2112852.0
Vitória do Mearim/MA,MA,2112902.0
Vitorino Freire/MA,MA,2113009.0
Zé Doca/MA,MA,2114007.0
Acauã/PI,PI,2200053.0
Agricolândia/PI,PI,2200103.0
Água Branca/PI,PI,2200202.0
Alagoinha do Piauí/PI,PI,2200251.0
Alegrete do Piauí/PI,PI,2200277.0
Alto Longá/PI,PI,2200301.0
Altos/PI,PI,2200400.0
Alvorada do Gurguéia/PI,PI,2200459.0
Amarante/PI,PI,2200509.0
Angical do Piauí/PI,PI,2200608.0
Anísio de Abreu/PI,PI,2200707.0
Antônio Almeida/PI,PI,2200806.0
Aroazes/PI,PI,2200905.0
Aroeiras do Itaim/PI,PI,2200954.0
Arraial/PI,PI,2201002.0
Assunção do Piauí/PI,PI,2201051.0
Avelino Lopes/PI,PI,2201101.0
Baixa Grande do Ribeiro/PI,PI,2201150.0
Barra D'Alcântara/PI,PI,2201176.0
Barras/PI,PI,2201200.0
Barreiras do Piauí/PI,PI,2201309.0
Barro Duro/PI,PI,2201408.0
Batalha/PI,PI,2201507.0
Bela Vista do Piauí/PI,PI,2201556.0
Belém do Piauí/PI,PI,2201572.0
Beneditinos/PI,PI,2201606.0
Bertolínia/PI,PI,2201705.0
Betânia do Piauí/PI,PI,2201739.0
Boa Hora/PI,PI,2201770.0
Bocaina/PI,PI,2201804.0
Bom Jesus/PI,PI,2201903.0
Bom Princípio do Piauí/PI,PI,2201919.0
Bonfim do Piauí/PI,PI,2201929.0
Boqueirão do Piauí/PI,PI,2201945.0
Brasileira/PI,PI,2201960.0
Brejo do Piauí/PI,PI,2201988.0
Buriti dos Lopes/PI,PI,2202000.0
Buriti dos Montes/PI,PI,2202026.0
Cabeceiras do Piauí/PI,PI,2202059.0
Cajazeiras do Piauí/PI,PI,2202075.0
Cajueiro da Praia/PI,PI,2202083.0
Caldeirão Grande do Piauí/PI,PI,2202091.0
Campinas do Piauí/PI,PI,2202109.0
Campo Alegre do Fidalgo/PI,PI,2202117.0
Campo Grande do Piauí/PI,PI,2202133.0
Campo Largo do Piauí/PI,PI,2202174.0
Campo Maior/PI,PI,2202208.0
Canavieira/PI,PI,2202251.0
Canto do Buriti/PI,PI,2202307.0
Capitão de Campos/PI,PI,2202406.0
Capitão Gervásio Oliveira/PI,PI,2202455.0
Caracol/PI,PI,2202505.0
Caraúbas do Piauí/PI,PI,2202539.0
Caridade do Piauí/PI,PI,2202554.0
Castelo do Piauí/PI,PI,2202604.0
Caxingó/PI,PI,2202653.0
Cocal/PI,PI,2202703.0
Cocal de Telha/PI,PI,2202711.0
Cocal dos Alves/PI,PI,2202729.0
Coivaras/PI,PI,2202737.0
Colônia do Gurguéia/PI,PI,2202752.0
Colônia do Piauí/PI,PI,2202778.0
Conceição do Canindé/PI,PI,2202802.0
Coronel José Dias/PI,PI,2202851.0
Corrente/PI,PI,2202901.0
Cristalândia do Piauí/PI,PI,2203008.0
Cristino Castro/PI,PI,2203107.0
Curimatá/PI,PI,2203206.0
Curralinhos/PI,PI,2203255.0
Curral Novo do Piauí/PI,PI,2203271.0
Demerval Lobão/PI,PI,2203305.0
Dirceu Arcoverde/PI,PI,2203354.0
Dom Expedito Lopes/PI,PI,2203404.0
Domingos Mourão/PI,PI,2203420.0
Dom Inocêncio/PI,PI,2203453.0
Elesbão Veloso/PI,PI,2203503.0
Eliseu Martins/PI,PI,2203602.0
Esperantina/PI,PI,2203701.0
Fartura do Piauí/PI,PI,2203750.0
Flores do Piauí/PI,PI,2203800.0
Floresta do Piauí/PI,PI,2203859.0
Floriano/PI,PI,2203909.0
Francinópolis/PI,PI,2204006.0
Francisco Ayres/PI,PI,2204105.0
Francisco Macedo/PI,PI,2204154.0
Francisco Santos/PI,PI,2204204.0
Fronteiras/PI,PI,2204303.0
Geminiano/PI,PI,2204352.0
Gilbués/PI,PI,2204402.0
Guadalupe/PI,PI,2204501.0
Guaribas/PI,PI,2204550.0
Hugo Napoleão/PI,PI,2204600.0
Ilha Grande/PI,PI,2204659.0
Inhuma/PI,PI,2204709.0
Ipiranga do Piauí/PI,PI,2204808.0
Isaías Coelho/PI,PI,2204907.0
Itainópolis/PI,PI,2205003.0
Itaueira/PI,PI,2205102.0
Jacobina do Piauí/PI,PI,2205151.0
Jaicós/PI,PI,2205201.0
Jardim do Mulato/PI,PI,2205250.0
