Cidades,Estados,Geocode
Alta Floresta D'Oeste/RO,RO,1100015.0
Ariquemes/RO,RO,1100023.0
Cabixi/RO,RO,1100031.0
Cacoal/RO,RO,1100049.0
Cerejeiras/RO,RO,1100056.0
Colorado do Oeste/RO,RO,1100064.0
Corumbiara/RO,RO,1100072.0
Costa Marques/RO,RO,1100080.0
Espigão D'Oeste/RO,RO,1100098.0
Guajará-Mirim/RO,RO,1100106.0
Jaru/RO,RO,1100114.0
Ji-Paraná/RO,RO,1100122.0
Machadinho D'Oeste/RO,RO,1100130.0
Nova Brasilândia D'Oeste/RO,RO,1100148.0
Ouro Preto do Oeste/RO,RO,1100155.0
Pimenta Bueno/RO,RO,1100189.0
Porto Velho/RO,RO,1100205.0
Presidente Médici/RO,RO,1100254.0
Rolim de Moura/RO,RO,1100288.0
Santa Luzia D'Oeste/RO,RO,1100296.0
Vilhena/RO,RO,1100304.0
São Miguel do Guaporé/RO,RO,1100320.0
Nova Mamoré/RO,RO,1100338.0
Alvorada D'Oeste/RO,RO,1100346.0
Alto Alegre dos Parecis/RO,RO,1100379.0
Alto Paraíso/RO,RO,1100403.0
Buritis/RO,RO,1100452.0
Novo Horizonte do Oeste/RO,RO,1100502.0
Cacaulândia/RO,RO,1100601.0
Campo Novo de Rondônia/RO,RO,1100700.0
Candeias do Jamari/RO,RO,1100809.0
Castanheiras/RO,RO,1100908.0
Chupinguaia/RO,RO,1100924.0
Cujubim/RO,RO,1100940.0
Governador Jorge Teixeira/RO,RO,1101005.0
Itapuã do Oeste/RO,RO,1101104.0
Ministro Andreazza/RO,RO,1101203.0
Mirante da Serra/RO,RO,1101302.0
Monte Negro/RO,RO,1101401.0
Nova União/RO,RO,1101435.0
Pimenteiras do Oeste/RO,RO,1101468.0
Primavera de Rondônia/RO,RO,1101476.0
São Felipe D'Oeste/RO,RO,1101484.0
São Francisco do Guaporé/RO,RO,1101492.0
Seringueiras/RO,RO,1101500.0
Teixeirópolis/RO,RO,1101559.0
Theobroma/RO,RO,1101609.0
Urupá/RO,RO,1101708.0
Vale do Anari/RO,RO,1101757.0
Vale do Paraíso/RO,RO,1101807.0
Acrelândia/AC,AC,1200013.0
Assis Brasil/AC,AC,1200054.0
Brasiléia/AC,AC,1200104.0
Bujari/AC,AC,1200138.0
Capixaba/AC,AC,1200179.0
Cruzeiro do Sul/AC,AC,1200203.0
Feijó/AC,AC,1200302.0
Mâncio Lima/AC,AC,1200336.0
Plácido de Castro/AC,AC,1200385.0
Rio Branco/AC,AC,1200401.0
Rodrigues Alves/AC,AC,1200427.0
Senador Guiomard/AC,AC,1200450.0
Sena Madureira/AC,AC,1200500.0
Tarauacá/AC,AC,1200609.0
Xapuri/AC,AC,1200708.0
Porto Acre/AC,AC,1200807.0
Apuí/AM,AM,1300144.0
Boca do Acre/AM,AM,1300706.0
Careiro/AM,AM,1301100.0
Guajará/AM,AM,1301654.0
Humaitá/AM,AM,1301704.0
Iranduba/AM,AM,1301852.0
Itacoatiara/AM,AM,1301902.0
Itapiranga/AM,AM,1302009.0
Lábrea/AM,AM,1302405.0
Manacapuru/AM,AM,1302504.0
Manaquiri/AM,AM,1302553.0
Manaus/AM,AM,1302603.0
Manicoré/AM,AM,1302702.0
Novo Airão/AM,AM,1303205.0
Novo Aripuanã/AM,AM,1303304.0
Presidente Figueiredo/AM,AM,1303536.0
Rio Preto da Eva/AM,AM,1303569.0
Silves/AM,AM,1304005.0
Amajari/RR,RR,1400027.0
Alto Alegre/RR,RR,1400050.0
Boa Vista/RR,RR,1400100.0
Bonfim/RR,RR,1400159.0
Cantá/RR,RR,1400175.0
Caracaraí/RR,RR,1400209.0
Caroebe/RR,RR,1400233.0
Iracema/RR,RR,1400282.0
Mucajaí/RR,RR,1400308.0
Normandia/RR,RR,1400407.0
Pacaraima/RR,RR,1400456.0
Rorainópolis/RR,RR,1400472.0
São João da Baliza/RR,RR,1400506.0
São Luiz/RR,RR,1400605.0
Abaetetuba/PA,PA,1500107.0
Abel Figueiredo/PA,PA,1500131.0
Acará/PA,PA,1500206.0
Água Azul do Norte/PA,PA,1500347.0
Alenquer/PA,PA,1500404.0
Almeirim/PA,PA,1500503.0
Altamira/PA,PA,1500602.0
Ananindeua/PA,PA,1500800.0
Anapu/PA,PA,1500859.0
Augusto Corrêa/PA,PA,1500909.0
Aurora do Pará/PA,PA,1500958.0
Baião/PA,PA,1501204.0
Bannach/PA,PA,1501253.0
Barcarena/PA,PA,1501303.0
Belém/PA,PA,1501402.0
Belterra/PA,PA,1501451.0
Benevides/PA,PA,1501501.0
Bom Jesus do Tocantins/PA,PA,1501576.0
Bonito/PA,PA,1501600.0
Bragança/PA,PA,1501709.0
Brasil Novo/PA,PA,1501725.0
Brejo Grande do Araguaia/PA,PA,1501758.0
Breu Branco/PA,PA,1501782.0
Bujaru/PA,PA,1501907.0
Cachoeira do Piriá/PA,PA,1501956.0
Cachoeira do Arari/PA,PA,1502004.0
Cametá/PA,PA,1502103.0
Canaã dos Carajás/PA,PA,1502152.0
Capanema/PA,PA,1502202.0
Capitão Poço/PA,PA,1502301.0
Castanhal/PA,PA,1502400.0
Colares/PA,PA,1502608.0
Conceição do Araguaia/PA,PA,1502707.0
Concórdia do Pará/PA,PA,1502756.0
Cumaru do Norte/PA,PA,1502764.0
Curionópolis/PA,PA,1502772.0
Curuá/PA,PA,1502855.0
Curuçá/PA,PA,1502905.0
Dom Eliseu/PA,PA,1502939.0
Eldorado do Carajás/PA,PA,1502954.0
Floresta do Araguaia/PA,PA,1503044.0
Garrafão do Norte/PA,PA,1503077.0
Goianésia do Pará/PA,PA,1503093.0
Igarapé-Açu/PA,PA,1503200.0
Igarapé-Miri/PA,PA,1503309.0
Inhangapi/PA,PA,1503408.0
Ipixuna do Pará/PA,PA,1503457.0
Irituia/PA,PA,1503507.0
Itaituba/PA,PA,1503606.0
Itupiranga/PA,PA,1503705.0
Jacareacanga/PA,PA,1503754.0
Jacundá/PA,PA,1503804.0
Mãe do Rio/PA,PA,1504059.0
Magalhães Barata/PA,PA,1504109.0
Marabá/PA,PA,1504208.0
Maracanã/PA,PA,1504307.0
Marapanim/PA,PA,1504406.0
Marituba/PA,PA,1504422.0
Medicilândia/PA,PA,1504455.0
Mocajuba/PA,PA,1504604.0
Moju/PA,PA,1504703.0
Mojuí dos Campos/PA,PA,1504752.0
Monte Alegre/PA,PA,1504802.0
Nova Esperança do Piriá/PA,PA,1504950.0
Nova Ipixuna/PA,PA,1504976.0
Nova Timboteua/PA,PA,1505007.0
Novo Progresso/PA,PA,1505031.0
Novo Repartimento/PA,PA,1505064.0
Óbidos/PA,PA,1505106.0
Oriximiná/PA,PA,1505304.0
Ourém/PA,PA,1505403.0
Ourilândia do Norte/PA,PA,1505437.0
Pacajá/PA,PA,1505486.0
Palestina do Pará/PA,PA,1505494.0
Paragominas/PA,PA,1505502.0
Parauapebas/PA,PA,1505536.0
Pau D'Arco/PA,PA,1505551.0
Peixe-Boi/PA,PA,1505601.0
Piçarra/PA,PA,1505635.0
Placas/PA,PA,1505650.0
Prainha/PA,PA,1506005.0
Primavera/PA,PA,1506104.0
Quatipuru/PA,PA,1506112.0
Redenção/PA,PA,1506138.0
Rio Maria/PA,PA,1506161.0
Rondon do Pará/PA,PA,1506187.0
Rurópolis/PA,PA,1506195.0
Salinópolis/PA,PA,1506203.0
Salvaterra/PA,PA,1506302.0
Santa Bárbara do Pará/PA,PA,1506351.0
Santa Izabel do Pará/PA,PA,1506500.0
Santa Luzia do Pará/PA,PA,1506559.0
Santa Maria das Barreiras/PA,PA,1506583.0
Santa Maria do Pará/PA,PA,1506609.0
Santana do Araguaia/PA,PA,1506708.0
Santarém/PA,PA,1506807.0
Santarém Novo/PA,PA,1506906.0
Santo Antônio do Tauá/PA,PA,1507003.0
São Caetano de Odivelas/PA,PA,1507102.0
São Domingos do Araguaia/PA,PA,1507151.0
São Domingos do Capim/PA,PA,1507201.0
São Félix do Xingu/PA,PA,1507300.0
São Francisco do Pará/PA,PA,1507409.0
São Geraldo do Araguaia/PA,PA,1507458.0
São João da Ponta/PA,PA,1507466.0
São João de Pirabas/PA,PA,1507474.0
São João do Araguaia/PA,PA,1507508.0
São Miguel do Guamá/PA,PA,1507607.0
Sapucaia/PA,PA,1507755.0
Senador José Porfírio/PA,PA,1507805.0
Soure/PA,PA,1507904.0
Tailândia/PA,PA,1507953.0
Terra Alta/PA,PA,1507961.0
Tomé-Açu/PA,PA,1508001.0
Tracuateua/PA,PA,1508035.0
Trairão/PA,PA,1508050.0
Tucumã/PA,PA,1508084.0
Tucuruí/PA,PA,1508100.0
Ulianópolis/PA,PA,1508126.0
Uruará/PA,PA,1508159.0
Vigia/PA,PA,1508209.0
Viseu/PA,PA,1508308.0
Xinguara/PA,PA,1508407.0
Serra do Navio/AP,AP,1600055.0
Amapá/AP,AP,1600105.0
Pedra Branca do Amapari/AP,AP,1600154.0
Calçoene/AP,AP,1600204.0
Cutias/AP,AP,1600212.0
Ferreira Gomes/AP,AP,1600238.0
Itaubal/AP,AP,1600253.0
Laranjal do Jari/AP,AP,1600279.0
Macapá/AP,AP,1600303.0
Mazagão/AP,AP,1600402.0
