,X_axis,Y_axis
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.038461538461538464
26,26,0.07407407407407407
27,27,0.10714285714285714
28,28,0.10344827586206896
29,29,0.1
30,30,0.0967741935483871
31,31,0.125
32,32,0.12121212121212122
33,33,0.14705882352941177
34,34,0.14285714285714285
35,35,0.16666666666666666
36,36,0.16216216216216217
37,37,0.18421052631578946
38,38,0.23076923076923078
39,39,0.225
40,40,0.21951219512195122
41,41,0.23809523809523808
42,42,0.23255813953488372
43,43,0.22727272727272727
44,44,0.2222222222222222
45,45,0.21739130434782608
46,46,0.23404255319148937
47,47,0.22916666666666666
48,48,0.24489795918367346
49,49,0.26
50,50,0.2549019607843137
51,51,0.2692307692307692
52,52,0.3018867924528302
53,53,0.3148148148148148
54,54,0.34545454545454546
55,55,0.35714285714285715
56,56,0.38596491228070173
57,57,0.41379310344827586
58,58,0.4406779661016949
59,59,0.45
60,60,0.45901639344262296
61,61,0.46774193548387094
62,62,0.49206349206349204
63,63,0.5
64,64,0.5230769230769231
65,65,0.5454545454545454
66,66,0.5671641791044776
67,67,0.5735294117647058
68,68,0.5942028985507246
69,69,0.6142857142857143
70,70,0.6338028169014085
71,71,0.6388888888888888
72,72,0.6575342465753424
73,73,0.6756756756756757
74,74,0.68
75,75,0.6973684210526315
76,76,0.7142857142857143
77,77,0.717948717948718
78,78,0.7341772151898734
79,79,0.75
80,80,0.7654320987654321
81,81,0.7804878048780488
82,82,0.7951807228915663
83,83,0.8095238095238095
84,84,0.8117647058823529
85,85,0.813953488372093
86,86,0.8275862068965517
87,87,0.8409090909090909
88,88,0.8539325842696629
89,89,0.8555555555555555
90,90,0.8571428571428571
91,91,0.8695652173913043
92,92,0.8817204301075269
93,93,0.8936170212765957
94,94,0.8947368421052632
95,95,0.90625
96,96,0.9072164948453608
97,97,0.9081632653061225
98,98,0.9090909090909091
99,99,0.92
100,100,0.9306930693069307
101,101,0.9411764705882353
102,102,0.9514563106796117
103,103,0.9615384615384616
104,104,0.9619047619047619
105,105,0.9622641509433962
106,106,0.9626168224299065
107,107,0.9722222222222222
108,108,0.9724770642201835
109,109,0.9818181818181818
110,110,0.9819819819819819
111,111,0.9910714285714286
112,112,0.9911504424778761
113,113,0.9912280701754386
114,114,0.991304347826087
115,115,0.9913793103448276
116,116,0.9914529914529915
117,117,0.9915254237288136
118,118,0.9915966386554622
119,119,0.9916666666666667
120,120,0.9917355371900827
121,121,0.9918032786885246
122,122,0.991869918699187
123,123,0.9919354838709677
124,124,0.992
125,125,0.9920634920634921
126,126,1.0
127,127,1.0
128,128,1.0
129,129,1.0
130,130,1.0
131,131,1.0
132,132,1.0
133,133,1.0
134,134,1.0
135,135,1.0
136,136,1.0
137,137,1.0
138,138,1.0
139,139,1.0
